product_id,name,brand,price,currency,category_level_1,category_level_2,product_type,sport,availability,description,url,image_url,handle,source,tags,stock_quantity
9.89569E+12,Columbia Kids Boys Brown Glacial Half Zip,Columbia,23.99,USD,Apparel,Kids,Sportswear,Hiking,in_stock,"SUPREMELY LAYERABLE Essential all year long, this half-zip layer has a feminine fit and smooth feel. Comfort stretch lets you move, while a roomy, high collar keeps out drafts. Comfort stretch Center Back Length: 26"" Imported",https://www.columbiasportswear.co.in/products/glacial-half-zip-ab6018-257,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/AB6018-257_1.jpg?v=1743238851,glacial-half-zip-ab6018-257,columbia_sportswear_india,Columbia; Fleece; Hiking and Trekking; Hiking Trekking; Jackets and Vest; Kids; Kids Boys,117
9.89569E+12,Columbia Unisex Blue Tritan Co-Polyester Hydration Water Bottle,Columbia,19.99,USD,Accessories,Men's,Accessories,Hiking,in_stock,"MEASURES UP Track your hydration and meet your goals thanks to this 32-ounce water bottle with an easy-to-read capacity gauge, quick screw cap, and BPA-free plastic. Lid PP with Silicone Gasket External capacity gauge BPA Free Tritan Co-Polyester Imported",https://www.columbiasportswear.co.in/products/columbia-unisex-blue-tritan-co-polyester-hydration-bottles-87324-437,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/87324-437_1.jpg?v=1743238855,columbia-unisex-blue-tritan-co-polyester-hydration-bottles-87324-437,columbia_sportswear_india,Accessories; Camping and Safari; Hiking and Trekking; Lifestyle Sportswear; Men; Water Bottle; Water Sports; Women,310
9.89569E+12,Columbia Unisex Black Tritan Co-Polyester Hydration Water Bottle,Columbia,17.99,USD,Accessories,Men's,Accessories,Hiking,in_stock,"MEASURES UPTrack your hydration and meet your goals thanks to this 32-ounce water bottle with an easy-to-read capacity gauge, quick screw cap, and BPA-free plastic. Lid PP with Silicone GasketExternal capacity gaugeBPA FreeTritan Co-PolyesterImported",https://www.columbiasportswear.co.in/products/columbia-unisex-black-tritan-co-polyester-hydration-bottles-87305-010,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/87305-010_1.jpg?v=1743238856,columbia-unisex-black-tritan-co-polyester-hydration-bottles-87305-010,columbia_sportswear_india,Accessories; Camping and Safari; Hiking and Trekking; Lifestyle Sportswear; Men; Water Bottle; Water Sports; Women,146
9.89569E+12,Columbia Unisex Black Carbon Trekking Pole,Columbia,119.99,USD,,Men's,Equipment,Hiking,in_stock,Use these carbon fiber trekking poles for extra stability on tough trails. They’re extendable to suit your height and collapsible to pack away.,https://www.columbiasportswear.co.in/products/columbia-unisex-black-carbon-trekking-pole-87395-010,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/87395-010_1.jpg?v=1743238853,columbia-unisex-black-carbon-trekking-pole-87395-010,columbia_sportswear_india,Equipment; Hiking and Trekking; Men; Trekking pole; Winter Sports; Women,81
9.89569E+12,Columbia Unisex Blue Omni-Shield 4P FRP Dome Tent,Columbia,203.99,USD,Bags & Gear,Men's,Equipment,Hiking,in_stock,,https://www.columbiasportswear.co.in/products/columbia-unisex-blue-4p-frp-dome-tent-50052-486,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/50052-486_1.jpg?v=1743238859,columbia-unisex-blue-4p-frp-dome-tent-50052-486,columbia_sportswear_india,Camping and Safari; Equipment; Hiking and Trekking; Men; Tent; Women,23
9.89569E+12,Columbia Kids Boys Maroon Glacial Fleece Jacket,Columbia,19.99,USD,Apparel,Kids,Sportswear,Hiking,in_stock,"SUPREMELY LAYERABLE Essential all year long, this half-zip layer has a feminine fit and smooth feel. Comfort stretch lets you move, while a roomy, high collar keeps out drafts. Comfort stretch Center Back Length: 26"" Imported",https://www.columbiasportswear.co.in/products/glacial-half-zip-ab6018-521,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/AB6018-521_1.jpg?v=1743238850,glacial-half-zip-ab6018-521,columbia_sportswear_india,Columbia; Columbia Sale; Fleece; Hiking and Trekking; Hiking Trekking; Jackets and Vest; Kids; Kids Boys,117
9.89539E+12,Columbia Men Beige Cascades Explorer Convertible Pant (Sun Protection),Columbia,47.99,USD,Apparel,Men's,Sportswear,Casual,in_stock,"FROM PANT TO SHORTThese pants are the ultimate versatile outdoor wear: With one zip, go from pants to shorts in no time. STAY DRY, STAY SHADEDMade of nylon ripstop with advanced wicking fabric and UPF 50, these pants keep you cool and dry. UTILITYThese durable pants (or shorts) are ready for your adventures with plenty of pockets for odds and ends. Omni-WickOmni-Shade UPF 50 sun protectionPartial elastic at waistGusset detailPockets with hook and loop closureZip-closed security pocketMesh pocket bagsConverts to 10"" inseam shortsUses: HikingImported",https://www.columbiasportswear.co.in/products/cascades-explorer-convertible-pant-am1572-160,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/AM1572-160_2_492d48ea-5b49-4ab5-8c6f-9dca93c2f730.jpg?v=1743238883,cascades-explorer-convertible-pant-am1572-160,columbia_sportswear_india,Casual Lifestyle; Columbia; Men; Pants; Pants and Shorts,136
9.89569E+12,Columbia Unisex Green Tritan Co-Polyester Hydration Water Bottle,Columbia,17.99,USD,Accessories,Men's,Accessories,Hiking,in_stock,"MEASURES UP Track your hydration and meet your goals thanks to this 32-ounce water bottle with an easy-to-read capacity gauge, quick screw cap, and BPA-free plastic. Lid PP with Silicone Gasket External capacity gauge BPA Free Tritan Co-Polyester Imported",https://www.columbiasportswear.co.in/products/columbia-unisex-green-tritan-co-polyester-hydration-bottles-87313-360,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/87313-360_1.jpg?v=1743238855,columbia-unisex-green-tritan-co-polyester-hydration-bottles-87313-360,columbia_sportswear_india,Accessories; Camping and Safari; Hiking and Trekking; Lifestyle Sportswear; Men; Water Bottle; Water Sports; Women,254
9.89569E+12,Columbia Kids Boys Grey Glacial Fleece Jacket,Columbia,18.99,USD,Apparel,Kids,Sportswear,Hiking,in_stock,"SUPREMELY LAYERABLE Essential all year long, this half-zip layer has a feminine fit and smooth feel. Comfort stretch lets you move, while a roomy, high collar keeps out drafts. Comfort stretch Center Back Length: 26"" Imported",https://www.columbiasportswear.co.in/products/glacial-half-zip-ab6018-023,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/AB6018-023_1.jpg?v=1743238852,glacial-half-zip-ab6018-023,columbia_sportswear_india,Columbia; Columbia Sale; Fleece; Hiking and Trekking; Hiking Trekking; Jackets and Vest; Kids; Kids Boys,89
9.89569E+12,Columbia Unisex Blue Omni-Shield 6P FRP Dome Tent,Columbia,310.99,USD,Bags & Gear,Men's,Equipment,Hiking,in_stock,"STRAIGHT WALL DESIGN Straighter walls mean more internal space and higher ceilings for you. The 11' x 9' floor plan with a 72"" center height fits 6 campers, or one queen air mattresses MAGNETIC DOOR CLOSURE Magnetic zipper cuff (in addition to full zippers) on the tent door give you the open to go in and out without the hassel of zippers. EXTRA COMFORT Mesh walls, doors, and windows help keep even the smallest insects out of your tent and promotes air flow on warmer days WATER-REPELLENT Omni-Shield coated fabric provides advanced repellency against water and stains. Omni-Shield fabric dries 3-5 times faster than untreated fabric, meaning it stays lighter even when it's wet. Omni-Shield™ advanced repellency Above ground storage pocket Magnetic Zipper Cuff Overall Size: 132"" L x 72"" H x 108"" W Weight: 21.56 lbs Uses: Camping Imported",https://www.columbiasportswear.co.in/products/columbia-unisex-blue-6p-frp-dome-tent-50053-486,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/50053-486_1.jpg?v=1743238857,columbia-unisex-blue-6p-frp-dome-tent-50053-486,columbia_sportswear_india,Camping and Safari; Equipment; Hiking and Trekking; Men; Out of stock; Tent; Women,13
9.89569E+12,Columbia Unisex Grey Columbia 250 Lumen Flashlight,Columbia,47.99,USD,,Men's,Equipment,Hiking,in_stock,"ADVENTURE READY With a steel pocket clip and impact-resistant design, this 250-lumen flashlight is ready for adventure. Duracell battery included Quick-press switch High and strobe modes Steel pocket clip Lifetime LEDs Impact and water resistant Uses: Camping Imported Prop 65 Warning For CA Consumers",https://www.columbiasportswear.co.in/products/columbia-unisex-grey-250-lumen-flashlight-20719-082,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/20719-082_1.jpg?v=1747254650,columbia-unisex-grey-250-lumen-flashlight-20719-082,columbia_sportswear_india,Camping and Safari; Equipment; Hiking and Trekking; Lighting; Men; Women,97
9.89569E+12,Columbia Unisex Grey 3D 750L Lantern,Columbia,48.99,USD,,Men's,Equipment,Hiking,in_stock,,https://www.columbiasportswear.co.in/products/columbia-unisex-grey-3d-750l-lantern-50021-082,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/50021-082_1.jpg?v=1743238860,columbia-unisex-grey-3d-750l-lantern-50021-082,columbia_sportswear_india,Camping and Safari; Equipment; Hiking and Trekking; Lighting; Men; Women,126
9.89569E+12,Columbia Kids Boys Navy Blue Glacial Fleece Jacket,Columbia,18.99,USD,Apparel,Kids,Sportswear,Hiking,in_stock,"SUPREMELY LAYERABLE Essential all year long, this half-zip layer has a feminine fit and smooth feel. Comfort stretch lets you move, while a roomy, high collar keeps out drafts. Comfort stretch Center Back Length: 26"" Imported",https://www.columbiasportswear.co.in/products/glacial-half-zip-ab6018-468,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/AB6018-468_1.jpg?v=1743238851,glacial-half-zip-ab6018-468,columbia_sportswear_india,Columbia; Fleece; Hiking and Trekking; Hiking Trekking; Jackets and Vest; Kids; Kids Boys,114
9.89569E+12,Columbia Unisex Grey Rechargeable 750L Lantern,Columbia,84.99,USD,,Men's,Equipment,Hiking,in_stock,,https://www.columbiasportswear.co.in/products/columbia-unisex-grey-rechargeable-750l-lantern-50022-082,https://cdn.shopify.com/s/files/1/0922/4237/9031/files/50022-082_1.jpg?v=1743238860,columbia-unisex-grey-rechargeable-750l-lantern-50022-082,columbia_sportswear_india,Camping and Safari; Equipment; Hiking and Trekking; Lighting; Men; Women,113
